               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  76,             0.60555,             0.41788,             0.99001,             0.89713,             0.79221,             0.87732,             0.66989,             0.83567,             0.48702,               1.275,            0.002575,            0.002575,            0.002575
                  77,              0.5982,             0.40646,             0.97918,             0.90225,             0.81066,             0.87893,             0.68467,             0.82808,             0.49454,              1.2686,            0.002476,            0.002476,            0.002476
                  78,              0.6033,             0.42258,             0.99392,             0.92318,             0.77932,             0.86609,             0.66633,             0.85269,             0.49481,              1.2871,            0.002377,            0.002377,            0.002377
                  79,             0.61296,               0.424,             0.99658,             0.92774,             0.78998,             0.86338,             0.66343,             0.83629,             0.49673,              1.2649,            0.002278,            0.002278,            0.002278
                  80,                0.61,              0.4211,             0.99378,             0.89415,             0.79005,             0.87723,             0.67307,             0.83989,             0.48936,              1.2826,            0.002179,            0.002179,            0.002179
                  81,             0.59798,             0.41003,             0.98985,              0.9217,             0.79802,             0.87518,             0.65967,             0.84186,             0.48913,              1.2943,             0.00208,             0.00208,             0.00208
                  82,             0.59748,             0.41146,             0.98892,             0.90781,             0.80625,             0.86995,             0.66622,             0.84417,             0.49796,               1.301,            0.001981,            0.001981,            0.001981
                  83,             0.59298,             0.40106,             0.98196,             0.90113,             0.78998,             0.86814,             0.66558,             0.86571,             0.48469,              1.3035,            0.001882,            0.001882,            0.001882
                  84,             0.57797,             0.38876,             0.97589,             0.89971,             0.80897,             0.86397,             0.65942,             0.83644,             0.49631,              1.2814,            0.001783,            0.001783,            0.001783
                  85,             0.49246,             0.31183,             0.99827,             0.87677,             0.81988,             0.85206,             0.63496,             0.87732,             0.52151,              1.3168,            0.001684,            0.001684,            0.001684
                  86,             0.45678,             0.29172,             0.96313,             0.90004,             0.80007,              0.8716,             0.65961,             0.86632,             0.49136,               1.311,            0.001585,            0.001585,            0.001585
                  87,              0.4377,             0.27528,             0.93724,             0.86891,               0.803,             0.87418,             0.66399,             0.88553,             0.50553,              1.3071,            0.001486,            0.001486,            0.001486
                  88,             0.42589,             0.26684,             0.91731,             0.87943,             0.81419,             0.87908,             0.66392,             0.88675,             0.51573,              1.2993,            0.001387,            0.001387,            0.001387
                  89,             0.42146,             0.26524,             0.92749,              0.8725,             0.82271,             0.87459,             0.66736,              0.8785,             0.52534,              1.3001,            0.001288,            0.001288,            0.001288
                  90,             0.41312,             0.25838,              0.9164,             0.89714,             0.80225,             0.88159,              0.6774,             0.89264,             0.51025,              1.3244,            0.001189,            0.001189,            0.001189
                  91,             0.40683,             0.25851,             0.91902,             0.88786,             0.82646,             0.87968,             0.66822,             0.89706,             0.50445,              1.3529,             0.00109,             0.00109,             0.00109
                  92,             0.39619,             0.24907,             0.90744,             0.91511,             0.81523,             0.89127,              0.6811,             0.87591,             0.47935,              1.3493,            0.000991,            0.000991,            0.000991
                  93,             0.39587,             0.25375,             0.90431,              0.8898,             0.81906,             0.87961,             0.67676,             0.84205,             0.49459,               1.323,            0.000892,            0.000892,            0.000892
                  94,             0.38736,             0.24738,             0.90459,             0.91514,             0.82323,             0.89519,             0.68921,             0.84365,             0.48455,              1.3074,            0.000793,            0.000793,            0.000793
                  95,             0.37633,             0.24022,             0.90439,             0.90108,             0.81765,             0.88352,             0.67587,             0.83948,             0.50734,              1.3024,            0.000694,            0.000694,            0.000694
                  96,             0.36796,             0.23411,             0.89723,             0.91305,             0.81828,             0.88967,             0.67802,             0.84374,             0.49892,              1.3033,            0.000595,            0.000595,            0.000595
                  97,             0.38681,             0.24217,             0.89481,             0.92894,             0.80047,             0.87886,             0.66914,             0.84275,             0.49946,              1.3008,            0.000496,            0.000496,            0.000496
                  98,             0.36579,             0.22803,             0.88524,             0.93822,              0.8107,             0.88408,             0.67684,             0.84898,             0.49525,               1.314,            0.000397,            0.000397,            0.000397
                  99,             0.37052,             0.23444,             0.89583,             0.92867,             0.81791,             0.88772,             0.68033,             0.85831,             0.48706,              1.3312,            0.000298,            0.000298,            0.000298
